"LADBS_ID","Address","Postal_Code","EBEWE_Compliance_Wave","EBEWE_Compliance_Date","Property_Type","Year_Built","Building_SQFT","LADBS_Building_Category","City_Owned","Energy_STAR_Score","Census_Tract_GEOID","Longitude","Latitude","CES_Score","CES_Score_Percentile","Disadvantaged_Community","AC_Opt","CDI","Site_EUI","Source_EUI","Total_Water_Use","Predicted_HVAC_Capacity_Tonnage_per_Unit","Predicted_HVAC_Units","Predicted_HVAC_Type","Predicted_Investment_Cost","Predicted_Energy_Cost_Savings","Predicted_Elecricity_Cost_Savings","Predicted_Natural_Gas_Cost_Savings","Predicted_Natural_Gas_Usage","Predicted_kwAmount","MID_pred_elec_savings","MID_pred_gas_savings","MID_pred_energy_savings","Adv1_pred_energy_savings","Adv1_pred_elec_savings","Adv1_pred_gas_savings","Adv2_pred_energy_savings","Adv2_pred_elec_savings","Adv2_pred_elec_savings.1","Predicted_Investment_Cost_Mid","Predicted_Investment_Cost_Advanced1","Predicted_Investment_Cost_Advanced2"
617,"117 S BOYLE AVE",90033,4,"December 1, 2024","Multifamily Housing",2016,90684,"50,000 to 99,999","No",,6037206032,-118.219826,34.046623,71.5647433016312,99.5081346954219,"Yes","Eligible",,31.4,60.8,3402.1,0.282959,16,4,31927.426606,842.951850521628,502.655456037492,340.297025088369,,,8115.18079088004,997.063540492693,9112.24445962037,928.933664918994,502.659048857945,426.274305143121,-4.88654203818545,-6.34791620020655,996.087314764589,122226.08477,42592.544323,133990.914865
1192,"13337 W BEACH AVE",90292,2,"December 1, 2022",,,,"50,000 to 99,999","No",,6037275400,-118.4426,33.992138,22.2072334974513,43.4228780426283,"No",,,,,,,,,,,,,,,,,,,,,,,,,,
1938,"901 W OLYMPIC BLVD",90015,5,"December 1, 2025","Hotel",2014,295750,"100,000+","No",71,6037207710,-118.26582,34.04546,33.0842537244402,65.0649514440661,"No",,,68.1,137,11188.6,,,,,,,,,,,,,,,,,,,,,
2360,"12582 W MILLENNIUM",90094,1,"December 1, 2021",,,,"50,000 to 99,999","No",,6037275602,-118.41255,33.977665,20.1005866343663,38.5294488586202,"No",,,,,,,,,,,,,,,,,,,,,,,,,,
2942,"13055 W ARROYO ST",91340,2,"December 1, 2022",,,,"50,000 to 99,999","No",,6037104201,-118.4174,34.29064,38.0681355732225,73.237482658595,"No",,,,,,,,,,,,,,,,,,,,,,,,,,
3086,"899 S FRANCISCO ST",90017,4,"December 1, 2024",,,,"100,000+","No",,6037207710,-118.26377,34.047604,33.0842537244402,65.0649514440661,"No",,,,,,,,,,,,,,,,,,,,,,,,,,
3626,"909 W TEMPLE ST",90012,4,"December 1, 2024","Multifamily Housing",2015,342600,"100,000+","No",55,6037207400,-118.24944,34.060772,,,"Yes","Eligible",,42.3,100.6,10999.3,0.553908,56,4,96248.81351,1848.65724619791,1329.04881125617,519.61051800888,,,41779.8539337535,3774.46174878016,45554.3161654879,2008.29474383085,1329.06072443132,679.233964982668,-6.59345932036732,-8.56268052209638,1742.29738722449,368464.260659,128400.008748,403930.662375
3790,"11121 W PENDLETON ST",91352,1,"December 1, 2021","Manufacturing/Industrial Plant",2014,83719,"50,000 to 99,999","No",,6037121102,-118.37336,34.23852,46.1393775163689,84.4116534241392,"Yes",,,115.8,318.1,1437.8,,,,,,,,,,,,,,,,,,,,,
3899,"1355 S FLOWER ST",90015,5,"December 1, 2025",,,,"50,000 to 99,999","No",,6037224010,-118.267456,34.039097,62.1384814139822,97.1370916887375,"Yes",,,,,,,,,,,,,,,,,,,,,,,,,,
5275,"1515 N SAN FERNANDO ROAD",90031,3,"December 1, 2023",,,,"50,000 to 99,999","No",,6037187102,-118.23259,34.09631,61.184220223609,96.7335099003657,"Yes",,,,,,,,,,,,,,,,,,,,,,,,,,
5471,"2500 S WESTERN AVE",90018,1,"December 1, 2021",,,,"50,000 to 99,999","No",,6037221500,-118.30895,34.033325,48.5342248075728,87.3502333207214,"Yes",,,,,,,,,,,,,,,,,,,,,,,,,,
5817,"303 S PACIFIC AVE",90731,4,"December 1, 2024","Multifamily Housing",2000,64873,"50,000 to 99,999","No",75,6037296600,-118.287895,33.74139,53.7036735692069,92.1806028502964,"Yes","Eligible",,32.7,61.9,2428.9,0.23267,11,4,28117.581226,690.865112100004,396.733737870598,294.131673578166,,,5600.87978331392,713.042341924831,6313.92221686733,766.418949236375,396.735898610226,369.682854373938,-5.08745842618264,-6.60926268662377,870.234263254819,107641.054473,37510.048631,118002.007452
6228,"7270 W MANCHESTER AVE",90045,5,"December 1, 2025","Multifamily Housing",2015,340691,"100,000+","No",100,6037276604,-118.42151,33.959724,12.9530597151124,19.914238869971,"No","Eligible",,27,60.2,7116.2,0.443802,55,4,94888.703913,1737.83150292714,1279.34150688225,458.492351202014,,,41439.8136894496,3753.04700675767,45192.8611766827,1878.46409413513,1279.3541550626,599.109790957992,-4.21426559944224,-5.47151133357399,1536.25546570123,363257.424764,126585.564727,398222.644266
6322,"20600 W VENTURA BLVD",91364,2,"December 1, 2022",,,,"100,000+","No",,6037137501,-118.58204,34.16715,25.8933113591623,51.5954092571573,"No",,,,,,,,,,,,,,,,,,,,,,,,,,
6522,"20600 W VENTURA BLVD",91364,2,"December 1, 2022","Multifamily Housing",2015,468945,"100,000+","No",94,6037137501,-118.58204,34.16715,25.8933113591623,51.5954092571573,"No","Eligible",,33,64.6,16.6,0.209915,75,4,150356.834642,1807.7259803646,1509.83617958832,297.891951695664,,,64850.5703181685,5170.39854176026,70020.9695193306,1946.86902628806,1509.84995924109,437.019912024135,-5.15335692079761,-6.69012559959883,1369.50003329853,575603.146587,200582.409064,631007.631107
6534,"5005 S MAIN ST",90037,3,"December 1, 2023","Multifamily Housing",2014,82689,"50,000 to 99,999","No",96,6037231900,-118.273964,33.997322,51.4993612175772,90.3644848026233,"Yes","Eligible",,25.3,53.5,4034.4,0.242443,14,4,30614.30052,751.174079129079,451.037083166391,300.137643740278,,,7308.06937884356,908.934563761965,8217.00405959762,825.992781868587,451.040569494755,374.951898861517,-3.93762999435757,-5.11512667839491,870.770630498432,117199.113375,40840.778304,128480.074052
6599,"16304 S VERMONT AVE",90247,5,"December 1, 2025",,,,"50,000 to 99,999","No",,6037291210,-118.29127,33.883266,69.6213378928735,99.205448354143,"Yes",,,,,,,,,,,,,,,,,,,,,,,,,,
6777,"900 W TEMPLE ST",90012,4,"December 1, 2024","Mixed Use Property",2015,178304,"100,000+","No",,6037207400,-118.24943,34.060726,,,"Yes",,,27.4,35.7,10364.3,,,,,,,,,,,,,,,,,,,,,
7072,"6280 TOPANGA CANYON BLVD",91367,2,"December 1, 2022",,,,"100,000+","No",,6037135114,-118.6058,34.184566,37.7379730273309,72.7708412157901,"No",,,,,,,,,,,,,,,,,,,,,,,,,,
7264,"4140 S GLENCOE AVE",90292,3,"December 1, 2023",,,,"50,000 to 99,999","No",,6037275400,-118.4422,33.98928,22.2072334974513,43.4228780426283,"No",,,,,,,,,,,,,,,,,,,,,,,,,,
