LADBS_ID,Address,Postal_Code,EBEWE_Compliance_Wave,EBEWE_Compliance_Date,Property_Type,Year_Built,Building_SQFT,LADBS_Building_Category,City_Owned,Energy_STAR_Score,Census_Tract_GEOID,Longitude,Latitude,CES_Score,CES_Score_Percentile,Disadvantaged_Community,AC_Opt,CDI,Site_EUI,Source_EUI,Total_Water_Use,Predicted_HVAC_Capacity_Tonnage_per_Unit,Predicted_HVAC_Units,Predicted_HVAC_Type,Predicted_Natural_Gas_Usage,Predicted_kwAmount,Basic_pred_energy_savings,Basic_pred_elec_savings,Basic_pred_gas_savings,Basic_pred_invest_cost,Mid_pred_energy_savings,Mid_pred_elec_savings,Mid_pred_gas_savings,Mid_pred_invest_cost,Adv1_pred_energy_savings,Adv1_pred_elec_savings,Adv1_pred_gas_savings,Adv1_pred_invest_cost,Adv2_pred_energy_savings,Adv2_pred_elec_savings,Adv2_pred_gas_savings,Adv2_pred_invest_cost
617,117 S BOYLE AVE,90033,4,1-Dec-24,Multifamily Housing,2016,90684,"50,000 to 99,999",No,,6037206032,-118.219826,34.046623,71.5647433,99.5081347,Yes,Eligible,,31.4,60.8,3402.1,0.282959,16,4,,,842.9518505,502.655456,340.2970251,31927.42661,9112.24446,8115.180791,997.0635405,122226.0848,928.9336649,502.6590489,426.2743051,42592.54432,-4.886542038,-6.3479162,996.0873148,133990.9149
1192,13337 W BEACH AVE,90292,2,1-Dec-22,,,,"50,000 to 99,999",No,,6037275400,-118.4426,33.992138,22.2072335,43.42287804,No,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,901 W OLYMPIC BLVD,90015,5,1-Dec-25,Hotel,2014,295750,"100,000+",No,71,6037207710,-118.26582,34.04546,33.08425372,65.06495144,No,,,68.1,137,11188.6,,,,,,,,,,,,,,,,,,,,,
2360,12582 W MILLENNIUM,90094,1,1-Dec-21,,,,"50,000 to 99,999",No,,6037275602,-118.41255,33.977665,20.10058663,38.52944886,No,,,,,,,,,,,,,,,,,,,,,,,,,,
2942,13055 W ARROYO ST,91340,2,1-Dec-22,,,,"50,000 to 99,999",No,,6037104201,-118.4174,34.29064,38.06813557,73.23748266,No,,,,,,,,,,,,,,,,,,,,,,,,,,
3086,899 S FRANCISCO ST,90017,4,1-Dec-24,,,,"100,000+",No,,6037207710,-118.26377,34.047604,33.08425372,65.06495144,No,,,,,,,,,,,,,,,,,,,,,,,,,,
3626,909 W TEMPLE ST,90012,4,1-Dec-24,Multifamily Housing,2015,342600,"100,000+",No,55,6037207400,-118.24944,34.060772,,,Yes,Eligible,,42.3,100.6,10999.3,0.553908,56,4,,,1848.657246,1329.048811,519.610518,96248.81351,45554.31617,41779.85393,3774.461749,368464.2607,2008.294744,1329.060724,679.233965,128400.0087,-6.59345932,-8.562680522,1742.297387,403930.6624
3790,11121 W PENDLETON ST,91352,1,1-Dec-21,Manufacturing/Industrial Plant,2014,83719,"50,000 to 99,999",No,,6037121102,-118.37336,34.23852,46.13937752,84.41165342,Yes,,,115.8,318.1,1437.8,,,,,,,,,,,,,,,,,,,,,
3899,1355 S FLOWER ST,90015,5,1-Dec-25,,,,"50,000 to 99,999",No,,6037224010,-118.267456,34.039097,62.13848141,97.13709169,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
5275,1515 N SAN FERNANDO ROAD,90031,3,1-Dec-23,,,,"50,000 to 99,999",No,,6037187102,-118.23259,34.09631,61.18422022,96.7335099,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
5471,2500 S WESTERN AVE,90018,1,1-Dec-21,,,,"50,000 to 99,999",No,,6037221500,-118.30895,34.033325,48.53422481,87.35023332,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
5817,303 S PACIFIC AVE,90731,4,1-Dec-24,Multifamily Housing,2000,64873,"50,000 to 99,999",No,75,6037296600,-118.287895,33.74139,53.70367357,92.18060285,Yes,Eligible,,32.7,61.9,2428.9,0.23267,11,4,,,690.8651121,396.7337379,294.1316736,28117.58123,6313.922217,5600.879783,713.0423419,107641.0545,766.4189492,396.7358986,369.6828544,37510.04863,-5.087458426,-6.609262687,870.2342633,118002.0075
6228,7270 W MANCHESTER AVE,90045,5,1-Dec-25,Multifamily Housing,2015,340691,"100,000+",No,100,6037276604,-118.42151,33.959724,12.95305972,19.91423887,No,Eligible,,27,60.2,7116.2,0.443802,55,4,,,1737.831503,1279.341507,458.4923512,94888.70391,45192.86118,41439.81369,3753.047007,363257.4248,1878.464094,1279.354155,599.109791,126585.5647,-4.214265599,-5.471511334,1536.255466,398222.6443
6322,20600 W VENTURA BLVD,91364,2,1-Dec-22,,,,"100,000+",No,,6037137501,-118.58204,34.16715,25.89331136,51.59540926,No,,,,,,,,,,,,,,,,,,,,,,,,,,
6522,20600 W VENTURA BLVD,91364,2,1-Dec-22,Multifamily Housing,2015,468945,"100,000+",No,94,6037137501,-118.58204,34.16715,25.89331136,51.59540926,No,Eligible,,33,64.6,16.6,0.209915,75,4,,,1807.72598,1509.83618,297.8919517,150356.8346,70020.96952,64850.57032,5170.398542,575603.1466,1946.869026,1509.849959,437.019912,200582.4091,-5.153356921,-6.6901256,1369.500033,631007.6311
6534,5005 S MAIN ST,90037,3,1-Dec-23,Multifamily Housing,2014,82689,"50,000 to 99,999",No,96,6037231900,-118.273964,33.997322,51.49936122,90.3644848,Yes,Eligible,,25.3,53.5,4034.4,0.242443,14,4,,,751.1740791,451.0370832,300.1376437,30614.30052,8217.00406,7308.069379,908.9345638,117199.1134,825.9927819,451.0405695,374.9518989,40840.7783,-3.937629994,-5.115126678,870.7706305,128480.0741
6599,16304 S VERMONT AVE,90247,5,1-Dec-25,,,,"50,000 to 99,999",No,,6037291210,-118.29127,33.883266,69.62133789,99.20544835,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
6777,900 W TEMPLE ST,90012,4,1-Dec-24,Mixed Use Property,2015,178304,"100,000+",No,,6037207400,-118.24943,34.060726,,,Yes,,,27.4,35.7,10364.3,,,,,,,,,,,,,,,,,,,,,
7072,6280 TOPANGA CANYON BLVD,91367,2,1-Dec-22,,,,"100,000+",No,,6037135114,-118.6058,34.184566,37.73797303,72.77084122,No,,,,,,,,,,,,,,,,,,,,,,,,,,
7264,4140 S GLENCOE AVE,90292,3,1-Dec-23,,,,"50,000 to 99,999",No,,6037275400,-118.4422,33.98928,22.2072335,43.42287804,No,,,,,,,,,,,,,,,,,,,,,,,,,,
7548,959 N SEWARD ST,90038,5,1-Dec-25,Office,2015,250000,"100,000+",No,,6037191901,-118.33338,34.08878,43.44254495,80.82986505,Yes,Ineligible,,19.6,48.9,712.5,22.106004,,,,,,,,117496.7706,30212.62157,27460.51226,2752.108963,449806.6951,,,,156745.6868,,,,493102.6851
7832,21800 VICTORY BLVD,91367,2,1-Dec-22,Supermarket/Grocery Store,2015,154626,"100,000+",No,86,6037135114,-118.602905,34.18748,37.73797303,72.77084122,No,,,131,314.8,3763.8,,,,,,,,,,,,,,,,,,,,,
7903,17720 W MAGNOLIA BLVD,91316,2,1-Dec-22,Multifamily Housing,2015,56466,"50,000 to 99,999",No,85,6037139504,-118.51899,34.165367,36.82550309,71.4970362,No,Eligible,,34,66.7,910.4,0.21974,10,4,,,644.8729511,363.7034991,281.1696221,26971.92391,5441.203054,4820.631136,620.5718377,103255.1949,717.8796799,363.7051308,354.1744001,35981.69307,-5.289203916,-6.871481528,837.8056519,113193.9885
8074,200 S LOS ANGELES ST,90012,3,1-Dec-23,Multifamily Housing,2013,123942,"100,000+",No,,6037206200,-118.24337,34.05022,65.25959524,98.23432968,Yes,,,,,4146.9,,,,,,,,,,,,,,,,,,,,,
8468,18452 W HALSTED ST,91325,5,1-Dec-25,,,,"50,000 to 99,999",No,,6037115201,-118.53517,34.24456,21.84507269,42.76705764,No,,,,,,,,,,,,,,,,,,,,,,,,,,
9772,4240 N LAUREL CANYON BLVD,91604,2,1-Dec-22,,,,"50,000 to 99,999",No,,6037143602,-118.396454,34.147366,24.25354408,48.32891916,No,,,,,,,,,,,,,,,,,,,,,,,,,,
10353,710 N EL CENTRO AVE,90038,2,1-Dec-22,Multifamily Housing,2015,80000,"100,000+",No,94,6037191820,-118.32442,34.083733,48.47488828,87.2619498,Yes,Eligible,,33.9,50.7,1303.1,0.269696,14,4,,,795.3625133,465.297826,330.0651486,30328.68025,7935.920358,7056.390147,879.530098,116105.6884,879.5889078,465.3007374,414.2879147,40459.74872,-5.274775352,-6.852458047,972.3828431,127281.4018
10412,959 N SEWARD ST,90038,2,1-Dec-22,,,,"100,000+",No,,6037191901,-118.33317,34.08831,43.44254495,80.82986505,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
10713,1411 N HIGHLAND AVE,90028,2,1-Dec-22,Multifamily Housing,2017,136899,"50,000 to 99,999",No,74,6037190100,-118.338646,34.096554,44.71878788,82.44419221,Yes,Eligible,,23.4,65.5,2357.9,0.342147,23,4,,,1044.445123,662.1982152,382.248169,39702.38901,14546.69497,13040.98211,1505.712672,151990.5636,1139.349367,662.2044457,477.1444338,52964.67469,-3.644768347,-4.733985089,1106.577963,166620.3635
11526,14500 W SHERMAN CIR,91405,4,1-Dec-24,Multifamily Housing,2016,447146,"100,000+",No,100,6037127803,-118.449265,34.19972,48.87588456,87.76642704,Yes,Eligible,,17.6,46.2,5256.2,0.202723,71,4,,,1715.567937,1437.025221,278.5452052,138818.3159,65477.37086,60548.35179,4929.018439,531430.8433,1839.064051,1437.039682,402.0249247,185189.5345,-2.757665977,-3.577756354,1229.890545,582583.5378
11687,5110 S CRENSHAW BLVD,90043,4,1-Dec-24,,,,"50,000 to 99,999",No,,6037234501,-118.33056,33.996212,46.21088618,84.49993694,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
12776,5806 W HAROLD WAY,90028,4,1-Dec-24,,,,"50,000 to 99,999",No,,6037191000,-118.31607,34.099285,56.87015645,94.53903393,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
12831,685 S NEW HAMPSHIRE AVE,90005,1,1-Dec-21,Multifamily Housing,2016,112785,"100,000+",No,95,6037212303,-118.2929,34.060413,37.81183723,72.88434859,No,Eligible,,40.8,83.7,1603.1,0.382173,19,4,,,1037.751143,620.4727214,417.2791264,35687.13215,11662.05734,10421.49243,1240.564747,136619.1674,1144.808809,620.4769426,524.3315338,47608.15135,-6.349265887,-8.248114896,1233.940402,149769.3987
12985,1540 N VINE ST,90028,3,1-Dec-23,Multifamily Housing,2016,1.00E+05,"100,000+",No,,6037191000,-118.32665,34.098755,56.87015645,94.53903393,Yes,Eligible,,13.9,43.6,2599.9,0.233694,17,4,,,774.3949059,488.8450444,285.5509118,33146.75844,10138.74947,9039.525879,1099.223445,126893.9886,842.7898103,488.8499923,353.9393783,44219.18483,-2.16578985,-2.812841566,807.3809417,139108.1262
14234,1616 N LA BREA AVE,90028,3,1-Dec-23,,,,"50,000 to 99,999",No,,6037190100,-118.344795,34.100285,44.71878788,82.44419221,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
14433,733 N HUDSON AVE,90038,2,1-Dec-22,,,,"50,000 to 99,999",No,,6037191820,-118.33207,34.08412,48.47488828,87.2619498,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
15794,688 S BERENDO ST,90005,3,1-Dec-23,Multifamily Housing,2014,105455,"50,000 to 99,999",No,,6037212303,-118.294136,34.06022,37.81183723,72.88434859,No,Eligible,,32.8,66.7,3079,0.322368,18,4,,,939.6178274,567.2804807,372.3381167,34325.5666,10794.85113,9635.16057,1159.690408,131406.7577,1033.730224,567.2847466,466.4451235,45791.76502,-5.104941387,-6.631499906,1090.247644,144055.2704
16155,1157 S BUNDY DR,90049,3,1-Dec-23,,,,"50,000 to 99,999",No,,6037262302,-118.482285,34.080353,4.69682714,2.736789002,No,,,,,,,,,,,,,,,,,,,,,,,,,,
16379,20600 W VENTURA BLVD,91364,5,1-Dec-25,,,,"100,000+",No,,6037137501,-118.58181,34.16743,25.89331136,51.59540926,No,,,,,,,,,,,,,,,,,,,,,,,,,,
16807,5311 S CRENSHAW BLVD,90043,4,1-Dec-24,,,,"50,000 to 99,999",No,,6037234600,-118.33102,33.99395,45.04915543,82.88560979,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
17821,1901 W 6TH ST,90057,1,1-Dec-21,,,,"50,000 to 99,999",No,,6037208903,-118.272575,34.058525,47.52508903,86.2403834,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
20008,748 N WILCOX AVE,90038,5,1-Dec-25,,,,"50,000 to 99,999",No,,6037191820,-118.330956,34.08438,48.47488828,87.2619498,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
20402,889 S FRANCISCO ST,90017,2,1-Dec-22,,,,"100,000+",No,,6037207710,-118.263794,34.047577,33.08425372,65.06495144,No,,,,,,,,,,,,,,,,,,,,,,,,,,
20589,3526 N MARMION WAY,90065,5,1-Dec-25,Multifamily Housing,2016,55931,"50,000 to 99,999",No,81,6037199000,-118.21519,34.08652,61.19120376,96.74612183,Yes,Eligible,,25.9,54.1,2969.3,0.193723,10,4,,,584.0390007,337.2026732,246.8366366,26801.07757,5373.778658,4759.271091,614.5074883,102601.1529,646.7502372,337.2046837,309.5453629,35753.77679,-4.029653429,-5.235004034,724.9957154,112476.9919
20871,1026 S BROADWAY,90015,1,1-Dec-21,,,,"100,000+",No,,6037207900,-118.25788,34.040504,35.32540626,69.0503216,No,,,,,,,,,,,,,,,,,,,,,,,,,,
21780,681 S BONNIE BRAE ST,90057,1,1-Dec-21,Multifamily Housing,2012,68659,"100,000+",No,60,6037208902,-118.27419,34.05598,44.04529059,81.61180477,Yes,Eligible,,51,104.6,11.3,0.316243,12,4,,,844.6969771,467.693199,377.0037949,28891.97741,6741.811652,5986.707307,755.1042476,110605.6346,944.7385305,467.6946425,477.0437746,38543.12605,-7.933232306,-10.3066188,1139.781403,121251.9422
23535,807 N HUDSON AVE,90038,3,1-Dec-23,,,,"50,000 to 99,999",No,,6037191820,-118.33207,34.085533,48.47488828,87.2619498,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
23706,222 S MAIN ST,90012,4,1-Dec-24,,,,"100,000+",No,,6037207302,-118.24488,34.050606,50.0944865,88.91411275,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
352086,1125 S BOYLE AVE,90023,4,1-Dec-24,,,,"50,000 to 99,999",No,,6037206050,-118.22033,34.03018,79.02529301,99.89910455,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
1.12217E+11,311 S GRAMERCY PL,90020,5,1-Dec-25,,,,"50,000 to 99,999",No,,6037211703,-118.312836,34.068653,36.40963806,70.66464876,No,,,,,,,,,,,,,,,,,,,,,,,,,,
1.12217E+11,14655 W BLYTHE ST,91402,3,1-Dec-23,Multifamily Housing,2011,54014,"50,000 to 99,999",No,,6037120030,-118.45197,34.215218,51.34610756,90.21314163,Yes,Eligible,,30.9,64,2268.8,0.205034,10,4,,,606.6107712,343.5982453,263.0127203,26603.31229,5184.80687,4591.279797,593.5269962,101844.0585,674.545904,343.5998965,330.9458537,35489.9495,-4.807046674,-6.245062686,780.9783753,111647.0236
1.12217E+11,1053 S NEW HAMPSHIRE AVE,90006,4,1-Dec-24,Multifamily Housing,2014,61115,"50,000 to 99,999",No,76,6037213320,-118.29266,34.051723,47.32678188,85.86202548,Yes,Eligible,,31.7,62.8,2736.4,0.221591,11,4,,,659.2868097,377.3274721,281.959608,27580.87426,5919.12142,5247.450091,671.6712422,105586.4075,731.7591088,377.3294772,354.4294475,36794.05872,-4.931782487,-6.407043373,834.5500675,115749.5911
1.12217E+11,1800 N WHITLEY AVE,90028,1,1-Dec-21,,,,"50,000 to 99,999",No,,6037190202,-118.333336,34.10351,39.1722098,74.70046664,No,,,,,,,,,,,,,,,,,,,,,,,,,,
1.12217E+11,979 S SERRANO AVE,90006,5,1-Dec-25,,,,"50,000 to 99,999",No,,6037213201,-118.30633,34.053356,45.09542042,82.9738933,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
