building id,building name,user defined building id,ubid,building type,year built (year),height (m),number of stories,total floor area (m2),baseline annual site energy use intensity (kWh/m2),baseline annual source energy use intensity (kWh/m2),baseline annual operational GHG emission intensity (kg/m2),baseline peak electricity load intensity(W/m2),baseline annual electricity use intensity (kWh/m2),baseline annual natural gas use intensity (kWh/m2),baseline annual electricity for heating (kWh/m2),baseline annual electricity for cooling (kWh/m2),baseline annual electricity for interior lighting (kWh/m2),baseline annual electricity for exterior lighting (kWh/m2),baseline annual electricity for interior equipment (kWh/m2),baseline annual electricity for exterior equipment (kWh/m2),baseline annual electricity for fans (kWh/m2),baseline annual electricity for pumps (kWh/m2),baseline annual electricity for water systems (kWh/m2),baseline annual electricity for refrigeration (kWh/m2),baseline annual natural gas for heating (kWh/m2),baseline annual natural gas for water systems (kWh/m2),baseline annual water for water systems (m3/m2),baseline average monthly peak electricity (kW),baseline cooling capacity (kW),baseline heating capacity (kW),simulation time (s),retrofit package id,retrofit package name,retrofit package ECM IDs,retrofit annual electricity for heating (kWh/m2),retrofit annual electricity for cooling (kWh/m2),retrofit annual electricity for interior lighting (kWh/m2),retrofit annual electricity for exterior lighting (kWh/m2),retrofit annual electricity for interior equipment (kWh/m2),retrofit annual electricity for exterior equipment (kWh/m2),retrofit annual electricity for fans (kWh/m2),retrofit annual electricity for pumps (kWh/m2),retrofit annual electricity for water systems (kWh/m2),retrofit annual electricity for refrigeration (kWh/m2),retrofit annual natural gas for heating (kWh/m2),retrofit annual natural gas for water systems (kWh/m2),retrofit annual water for water systems (m3/m2),retrofit average monthly peak electricity (kW),retrofit cooling capacity (kW),retrofit heating capacity (kW),annual site energy use intensity saving (kWh/m2),annual source energy use intensity saving (kWh/m2),annual operational GHG emission intensity reduction (kg/m2),peak electricity load intensity reduction (W/m2),annual electricity use intensity saving (kWh/m2),annual natural gas use intensity saving (kWh/m2),annual electricity cost saving ($),annual natural gas cost saving ($),annual energy cost saving ($),investment cost ($),incentive amount (%),payback year (year),embodied GHG emission (kg),life cycle GHG emission (kg),Applicable ECM ID 1,Applicable ECM name 1,Applicable ECM ID 2,Applicable ECM name 2,Applicable ECM ID 3,Applicable ECM name 3,Applicable ECM ID 4,Applicable ECM name 4,Applicable ECM ID 5,Applicable ECM name 5,Applicable ECM ID 6,Applicable ECM name 6,Applicable ECM ID 7,Applicable ECM name 7,Applicable ECM ID 8,Applicable ECM name 8,Applicable ECM ID 9,Applicable ECM name 9,Applicable ECM ID 10,Applicable ECM name 10,Applicable ECM ID 11,Applicable ECM name 11,Applicable ECM ID 12,Applicable ECM name 12,Applicable ECM ID 13,Applicable ECM name 13,Applicable ECM ID 14,Applicable ECM name 14,Applicable ECM ID 15,Applicable ECM name 15,Applicable ECM ID 16,Applicable ECM name 16,Applicable ECM ID 17,Applicable ECM name 17,Applicable ECM ID 18,Applicable ECM name 18,Applicable ECM ID 19,Applicable ECM name 19,Applicable ECM ID 20,Applicable ECM name 20\
7622805,,,3.79978E+11,Medium Office,1985,10.57,3,7191.1326,137.5422,422.0593,26.18257557,46.5324,132.8421,4.7,0,23.1422,39.5644,15.6248,39.977,0,14.4931,0.0406528,0,0,2.13544,2.5646,0.0693618,302.061,665.479,230.686,82.09,,baseline\,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7622805,,,3.79978E+11,Medium Office,1985,10.57,3,7191.1326,137.5422,422.0593,26.18257557,46.5324,132.8421,4.7,0,23.1422,39.5644,15.6248,39.977,0,14.4931,0.0406528,0,0,2.13544,2.5646,0.0693618,302.061,665.479,230.686,82.09,931,ECM Package 1,1;31;58;33;47;46;30;17;18,0,14.3482,13.0866,15.6248,39.977,0,5.54525,0.0398922,0,0,0.517161,2.24382,0.0693618,215.633,665.479,230.686,46.1595,140.8882,8.783498196,14.2643,44.2204,1.9391,51887.25,436.3,52323.54,125764.31,0,2.4,,,1,Replace existing lighting with T8 upgrade (0.7W/sf),31,Install daylighting sensors for interior lighting control,58,Clean Coils and Fins,33,Replace Air Filter,47,Reduce HVAC equipment runtime,46,Widen zone temperature deadband (cooling: +2 oF; heating: -2 oF),30,Add Programmable Thermostat,17,Apply Cool Roof Coating with Reflectivity,18,Efficiency Upgrade of the Gas Storage Water Heater (0.93),\,,,,,,,,,,,,,,,,,,,,,
7622813,,,4.96796E+11,Multi Family House,1971,13.71,4,5214.8184,100.9181,234.2645,18.86866362,23.7829,61.3878,39.5304,0,11.4672,12.9297,2.29677,31.7974,0,2.56845,0.328282,0,0,8.57391,19.2047,0.79147,94.7602,186.767,124.955,443.52,,baseline\,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7622813,,,4.96796E+11,Multi Family House,1971,13.71,4,5214.8184,100.9181,234.2645,18.86866362,23.7829,61.3878,39.5304,0,11.4672,12.9297,2.29677,31.7974,0,2.56845,0.328282,0,0,8.57391,19.2047,0.79147,94.7602,186.767,124.955,443.52,931,ECM Package 1,17;18;49,1.81583,12.5879,12.9297,2.29677,31.7974,0,19.3756,0.328282,0,0,0,15.0285,0.79147,110.388,226.669,423.319,-6.9936,-48.6075,-1.454481694,-1.3698,-19.7437,12.7501,-16799.92,2080.41,-14719.52,241379.74,0,,,,17,Apply Cool Roof Coating with Reflectivity,18,Efficiency Upgrade of the Gas Storage Water Heater (0.93),49,"Upgrade to Single-Zone Heat Pump (9.5 EER, 3.2 COP)",\,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7622818,,,3.83636E+11,Multi Family House,1979,8.4,3,5047.1922,88.4987,210.4894,16.56955198,19.0768,56.2516,32.2471,0,9.36364,11.5629,2.00977,31.3222,0,1.66236,0.330705,0,0,1.43756,18.8979,0.797311,76.5122,100.897,46.2549,646.39,,baseline\,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7622818,,,3.83636E+11,Multi Family House,1979,8.4,3,5047.1922,88.4987,210.4894,16.56955198,19.0768,56.2516,32.2471,0,9.36364,11.5629,2.00977,31.3222,0,1.66236,0.330705,0,0,1.43756,18.8979,0.797311,76.5122,100.897,46.2549,646.39,931,ECM Package 1,17;18;49,0.672608,8.0389,11.5629,2.00977,31.3222,0,10.0393,0.330705,0,0,0,15.3835,0.797311,82.7028,121.087,245.621,-2.7728,-19.0563,-0.575696428,-1.125,-7.7248,4.952,-6361.75,782.03,-5579.72,137312.91,0,,,,17,Apply Cool Roof Coating with Reflectivity,18,Efficiency Upgrade of the Gas Storage Water Heater (0.93),49,"Upgrade to Single-Zone Heat Pump (9.5 EER, 3.2 COP)",\,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7622826,,,3.73028E+11,Medium Office,1983,14.58,5,3143.598,142.1202,435.7702,27.05251583,50.1957,137.1024,5.0178,0,26.5692,39.5644,15.6248,39.977,0,15.3265,0.0405045,0,0,2.05618,2.96167,0.0693632,137.953,338.459,124.609,106.12,,baseline\,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7622826,,,3.73028E+11,Medium Office,1983,14.58,5,3143.598,142.1202,435.7702,27.05251583,50.1957,137.1024,5.0178,0,26.5692,39.5644,15.6248,39.977,0,15.3265,0.0405045,0,0,2.05618,2.96167,0.0693632,137.953,338.459,124.609,106.12,931,ECM Package 1,1;31;58;33;47;46;30;17;18,0,16.4987,10.9963,15.6248,39.977,0,5.86591,0.0384496,0,0,0.0430208,2.63045,0.0693632,97.6017,338.459,124.609,50.4457,153.4997,9.596966502,17.0683,48.1013,2.3444,24673.12,230.6,24903.72,86027.96,0,3.45,,,1,Replace existing lighting with T8 upgrade (0.7W/sf),31,Install daylighting sensors for interior lighting control,58,Clean Coils and Fins,33,Replace Air Filter,47,Reduce HVAC equipment runtime,46,Widen zone temperature deadband (cooling: +2 oF; heating: -2 oF),30,Add Programmable Thermostat,17,Apply Cool Roof Coating with Reflectivity,18,Efficiency Upgrade of the Gas Storage Water Heater (0.93),\,,,,,,,,,,,,,,,,,,,,,
7622807,,,3.8848E+11,Large Office,1966,6.76,2,13590.4504,202.6859,625.4729,38.59928431,52.7915,197.4415,5.2445,0,29.7607,67.0427,5.79514,68.5028,11.4136,5.15595,8.56341,0,0,2.76621,2.47826,0.0693619,673.904,1058.62,308.499,70.58,,baseline\,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7622807,,,3.8848E+11,Large Office,1966,6.76,2,13590.4504,202.6859,625.4729,38.59928431,52.7915,197.4415,5.2445,0,29.7607,67.0427,5.79514,68.5028,11.4136,5.15595,8.56341,0,0,2.76621,2.47826,0.0693619,673.904,1058.62,308.499,70.58,931,ECM Package 1,1;31;58;33;47;46;30;17;18,0,19.7575,21.9483,5.79514,68.5028,11.4136,2.16785,8.57775,0,0,0.605115,2.08536,0.0693619,437.447,1058.62,308.499,60.9485,186.0403,11.59770663,16.0349,58.3945,2.554,129492.88,1086.05,130578.93,190654.13,0,1.46,,,1,Replace existing lighting with T8 upgrade (0.7W/sf),31,Install daylighting sensors for interior lighting control,58,Clean Coils and Fins,33,Replace Air Filter,47,Reduce HVAC equipment runtime,46,Widen zone temperature deadband (cooling: +2 oF; heating: -2 oF),30,Add Programmable Thermostat,17,Apply Cool Roof Coating with Reflectivity,18,Efficiency Upgrade of the Gas Storage Water Heater (0.93),\,,,,,,,,,,,,,,,,,,,,,
