citybes_id,LA_bid,HVAC_system_type,number_of_HVAC_units,average_cooling_capacity_per_HVAC_unit(kW)
7622804,382681906783,split system air conditioner+gas furnace - each zone,60,2.38703162471921
7622805,379977910076,Packaged rooftop (VAV with reheat)-each story + boiler,3,271.489249019904
7622806,390177908735,central chiller + boiler (VAV with reheat),1,961.846331126463
7622807,388479907490,central chiller + boiler (VAV with reheat),1,1295.62411508
7622808,378700910044,Packaged rooftop (VAV with reheat)-each story + boiler,3,204.785167671798
7622809,389703910175,central chiller + boiler (VAV with reheat),1,1149.08661983008
7622811,390137909055,central chiller + boiler (VAV with reheat),1,1368.51799834232
7622813,496795871774,split system air conditioner+gas furnace - each zone,48,4.76210633862155
7622814,390574910969,central chiller + boiler (VAV with reheat),1,2076.96186540782
7622817,382959906334,split system air conditioner+gas furnace - each zone,39,2.64152583150481
7622818,383635914938,split system air conditioner+gas furnace - each zone,63,1.96010190913814
7622819,467157838988,split system air conditioner+gas furnace - each zone,75,3.41294650511205
7622820,476177833534,split system air conditioner+gas furnace - each zone,75,2.71215392567972
7622823,473982833569,split system air conditioner+gas furnace - each zone,57,3.61285648162921
7622824,378562887758,central chiller + boiler (VAV with reheat),1,1240.10913092885
7622825,381148887557,central chiller + boiler (VAV with reheat),1,1062.34970164888
7622826,373027883506,Packaged rooftop (VAV with reheat)-each story + boiler,5,82.8467354613118
7622827,370385882011,Packaged rooftop (VAV with reheat)-each story + boiler,3,265.04824011259
7622829,468776836743,split system air conditioner+gas furnace - each zone,51,4.17789210773509
7622830,380374893538,Packaged rooftop (VAV with reheat)-each story + boiler,3,325.207488928207
7622831,383677905746,split system air conditioner+gas furnace - each zone,204,2.82825297158583
7622832,378545899428,split system air conditioner+gas furnace - each zone,15,3.46696994373511
7622833,389467884701,split system air conditioner+gas furnace - each zone,64,3.03914916741306
7622834,381803884012,central chiller + boiler (VAV with reheat),1,1001.07183891381
7622835,381891887559,central chiller + boiler (VAV with reheat),1,1712.24177234837
7622836,486231864726,central chiller + boiler (VAV with reheat),1,1580.06462505679
7622837,381456891246,central chiller + boiler (VAV with reheat),1,3069.77366863159
7622838,381181889687,central chiller + boiler (VAV with reheat),1,2285.50030671993
7622839,388390902513,split system air conditioner+gas furnace - each zone,12,4.41265119010413
7622842,379701884640,Packaged rooftop (VAV with reheat)-each story + boiler,1,292.056855690724
7622843,380106887811,central chiller + boiler (VAV with reheat),1,5085.81896219783
7622845,380376888653,central chiller + boiler (VAV with reheat),1,9149.12554697471
7622846,437296909149,central chiller + boiler (VAV with reheat),1,1228.91158861676
7622847,382082891637,Packaged rooftop (VAV with reheat)-each story + boiler,3,254.493765920112
7622848,444282877070,split system air conditioner+gas furnace - each zone,48,3.82967353395971
7622852,422051878235,central chiller + boiler (VAV with reheat),1,1423.4176077651
7622853,424355878790,split system air conditioner+gas furnace - each zone,63,3.73459149098703
7622854,424106878805,split system air conditioner+gas furnace - each zone,66,2.52824408738241
7622855,371094881812,split system air conditioner+gas furnace - each zone,195,2.88047454660081
7622856,449232874548,split system air conditioner+gas furnace - each zone,129,4.25415600548326
7622857,449986874615,split system air conditioner+gas furnace - each zone,72,3.14547895686694
7622858,443462874434,central chiller + boiler (VAV with reheat),1,864.221811675346
7622859,442847876359,split system air conditioner+gas furnace - each zone,45,3.31514596798079
7622861,423484879098,split system air conditioner+gas furnace - each zone,68,2.32930415126203
7622862,388116896270,split system air conditioner+gas furnace - each zone,146,2.17309744718022
7622863,444303899312,split system air conditioner+gas furnace - each zone,309,2.58858326342841
7622864,483149843204,central chiller + boiler (VAV with reheat),1,678.686510210242
7622865,478628840586,central chiller + boiler (VAV with reheat),1,5063.23351462074
7622866,479079840456,split system air conditioner+gas furnace - each zone,45,6.50844695206866
7622867,423786879892,split system air conditioner+gas furnace - each zone,60,4.00606259628891
7622868,424341879777,split system air conditioner+gas furnace - each zone,60,4.07891867316337
7622869,424186879165,split system air conditioner+gas furnace - each zone,63,3.4635116998157
7622870,436274875405,Packaged rooftop (VAV with reheat)-each story + boiler,1,581.526416726838
7622871,477139846267,split system air conditioner+gas furnace - each zone,54,4.62702996519253
7622872,426607843742,central chiller + boiler (VAV with reheat),1,7046.52436501709
7622873,476409846684,split system air conditioner+gas furnace - each zone,63,4.09271766815997
7622874,424339848081,split system air conditioner+gas furnace - each zone,33,6.90957370512524
7622875,425207847897,split system air conditioner+gas furnace - each zone,42,5.83315685731457
7622876,476609846441,split system air conditioner+gas furnace - each zone,138,2.80851243577825
7622877,426789842900,split system air conditioner+gas furnace - each zone,54,5.28458359135617
7622878,427727844775,split system air conditioner+gas furnace - each zone,72,5.08971835639639
7622879,426231843604,central chiller + boiler (VAV with reheat),1,3161.49969094034
7622880,428050844196,Packaged rooftop (VAV with reheat)-each story + boiler,4,201.048225574715
7622881,427189841986,split system air conditioner+gas furnace - each zone,102,4.2805345588873
7622882,429165841119,central chiller + boiler (VAV with reheat),1,695.614639424563
7622883,424148847924,split system air conditioner+gas furnace - each zone,63,3.49316162583767
7622884,474823746910,split system air conditioner+gas furnace - each zone,21,3.0700517309842
7622885,472719846479,split system air conditioner+gas furnace - each zone,51,4.09689125864409
7622887,481264843692,split system air conditioner+gas furnace - each zone,150,3.68709920253654
7622888,484650846387,split system air conditioner+gas furnace - each zone,135,3.38339988164795
7622889,473831844879,central chiller + boiler (VAV with reheat),1,1373.37040552751
7622890,449541874013,split system air conditioner+gas furnace - each zone,162,3.97841018813896
7622891,469973844796,central chiller + boiler (VAV with reheat),1,6453.16599126725
7622892,473766846600,central chiller + boiler (VAV with reheat),1,1489.6375135432
7622893,474019846140,central chiller + boiler (VAV with reheat),1,1724.46439096847
7622894,473055843453,central chiller + boiler (VAV with reheat),1,580.917469367505
7622895,427166843895,central chiller + boiler (VAV with reheat),1,3562.62459418373
7622896,472083845771,central chiller + boiler (VAV with reheat),1,2148.22619050062
7622897,443556850110,split system air conditioner+gas furnace - each zone,57,5.41704805634436
7622898,472427850630,split system air conditioner+gas furnace - each zone,108,3.46166209440533
7622899,473688846257,central chiller + boiler (VAV with reheat),1,2085.452111434
7622900,468577846468,split system air conditioner+gas furnace - each zone,60,4.00015792182662
7622901,483602846122,split system air conditioner+gas furnace - each zone,120,4.19003595591327
7622902,468351845926,split system air conditioner+gas furnace - each zone,39,5.9044514851383
7622904,472273846021,split system air conditioner+gas furnace - each zone,48,4.34538172244372
7622905,471365849343,split system air conditioner+gas furnace - each zone,63,3.74465789492374
7622906,473221844894,central chiller + boiler (VAV with reheat),1,15405.2323609534
7622907,470387843861,split system air conditioner+gas furnace - each zone,84,3.79174766335785
7622908,470022846911,split system air conditioner+gas furnace - each zone,60,4.63544821688028
7622909,468501845175,central chiller + boiler (VAV with reheat),1,3893.90981323603
7622910,448246849754,split system air conditioner+gas furnace - each zone,54,4.30487572042914
7622911,460917845212,central chiller + boiler (VAV with reheat),1,1276.89968630786
7622912,471757846577,split system air conditioner+gas furnace - each zone,48,5.38793368330323
7622913,469663845750,central chiller + boiler (VAV with reheat),1,1749.76037487743
7622914,470403846196,split system air conditioner+gas furnace - each zone,117,2.50040775068009
7622915,472297845937,split system air conditioner+gas furnace - each zone,72,3.9278173262477
7622916,472905846145,split system air conditioner+gas furnace - each zone,300,2.3682221019282
7622917,455979844812,split system air conditioner+gas furnace - each zone,156,3.57784309003967
7622918,444426803008,central chiller + boiler (VAV with reheat),1,3447.76858655254
7622919,471757847212,split system air conditioner+gas furnace - each zone,69,3.5540253502024
7622920,435898816450,central chiller + boiler (VAV with reheat),1,4411.35487688869
7622921,483328840452,central chiller + boiler (VAV with reheat),1,3445.08614617328
7622923,437292895970,packaged rooftop air conditioner+gas furnace - each zone,2,58.5255794199901
7622924,422453840893,central chiller + boiler (VAV with reheat),1,6087.19241176168
7622926,468999846221,split system air conditioner+gas furnace - each zone,48,3.98785659192848
7622927,433334801580,central chiller + boiler (VAV with reheat),1,5232.5979939772
7622928,415903879488,central chiller + boiler (VAV with reheat),1,6125.15640514295
7622929,423652835288,central chiller + boiler (VAV with reheat),1,2982.13749391331
7622930,437282797940,central chiller + boiler (VAV with reheat),1,2945.92139483629
7622931,445598803106,central chiller + boiler (VAV with reheat),1,13011.9033187165
7622932,482892841035,central chiller + boiler (VAV with reheat),1,8410.75884074751
7622933,436078845276,central chiller + boiler (VAV with reheat),1,6737.59649582872
7622934,428305818336,split system air conditioner+gas furnace - each zone,264,2.88891588335353
