citybes_id,user_defined_building_id,building_type,year_built,total_area (m2)
7622856,449232874548,Multi-family,1990,20989.1202
7622917,455979844812,Multi-family,1989,24918.4488
7622950,409865883925,Multi-family,1995,27437.3352
7623040,403772913397,Multi-family,1984,28574.6244
7622951,419601844009,Multi-family,1988,29195.134
7622916,472905846145,Multi-family,1989,32272.6876
7622958,428751936958,Multi-family,1985,33490.3445
7622934,428305818336,Multi-family,1998,35658.6575
7622999,410885918448,Multi-family,1997,37645.7064
7622956,480305863662,Multi-family,1989,39657.135
7622863,444303899312,Multi-family,1986,41709.586
7623067,474116846730,Multi-family,1990,46090.5264
7622962,425075904846,Multi-family,1985,46567.2115
7622936,454385845934,Multi-family,1986,48751.9599
